Code,Name,Country,Exchange,Currency,Type
AANNF,Aroundtown SA,USA,PINK,USD,Common Stock
AAOI,"Applied Optoelectronics, Inc",USA,NASDAQ,USD,Common Stock
AAON,"AAON, Inc",USA,NASDAQ,USD,Common Stock
AAP,"Advance Auto Parts, Inc",USA,NYSE,USD,Common Stock
AAPJ,"AAP, Inc",USA,PINK,USD,Common Stock
AAPL,Apple Inc,USA,NASDAQ,USD,Common Stock
AAPT,"All American Pet Company, Inc",USA,PINK,USD,Common Stock
AAQC-U,AAQC-U,USA,NYSE,USD,Common Stock
AASCF,All Active Asset Capital Limited,USA,OTCGREY,USD,Common Stock
AASL,America's Suppliers Inc,USA,PINK,USD,Common Stock
AASP,"All-American Sportpark, Inc",USA,PINK,USD,Common Stock
AASZF,Atlantic Sapphire ASA,USA,OTCQX,USD,Common Stock
AAT,"American Assets Trust, Inc",USA,NYSE,USD,Common Stock
AATDF,AA plc,USA,PINK,USD,Common Stock
AATGF,ATI Airtest Technologies Inc,USA,OTCGREY,USD,Common Stock
AATP,Agape ATP Corporation,USA,PINK,USD,Common Stock
AATRL,Amg Capital Trust II,USA,PINK,USD,Common Stock
AATV,"Adaptive Ad Systems, Inc",USA,PINK,USD,Common Stock
AAU,Almaden Minerals Ltd,USA,NYSE MKT,USD,Common Stock
AAUGF,Angold Resources Ltd,USA,PINK,USD,Common Stock
AAUKF,Anglo American plc,USA,OTCQX,USD,Common Stock
AAVMY,ABN AMRO Bank N.V,USA,PINK,USD,Common Stock
AAVVF,Advantage Oil & Gas Ltd,USA,PINK,USD,Common Stock
AAVXF,ABIVAX Société Anonyme,USA,PINK,USD,Common Stock
AAWCD,Canning Str Corp,USA,PINK,USD,Common Stock
AAWW,"Atlas Air Worldwide Holdings, Inc",USA,NASDAQ,USD,Common Stock
AAXT,"Aamaxan Transport Group, Inc",USA,OTCCE,USD,Common Stock
AAZZF,A2Z Smart Technologies Corp,USA,OTCQX,USD,Common Stock
AB,AllianceBernstein Holding L.P,USA,NYSE,USD,Common Stock
ABAKF,Aberdeen Asia-Pacific Income Investment Company Limited,USA,OTCGREY,USD,Common Stock
ABANF,Automatic Bank Services Limited,USA,PINK,USD,Common Stock
ABB,ABB Ltd,USA,NYSE,USD,Common Stock
ABBB,"Auburn Bancorp, Inc",USA,PINK,USD,Common Stock
ABBRF,AbraSilver Resource Corp,USA,PINK,USD,Common Stock
ABBV,AbbVie Inc,USA,NYSE,USD,Common Stock
ABBY,"Abby, Inc",USA,PINK,USD,Common Stock
ABC,AmerisourceBergen Corporation,USA,NYSE,USD,Common Stock
ABCAF,Athabasca Minerals Inc,USA,PINK,USD,Common Stock
ABCB,Ameris Bancorp,USA,NASDAQ,USD,Common Stock
ABCE,"ABCO Energy, Inc",USA,PINK,USD,Common Stock
ABCED,"ABCO Energy, Inc",USA,PINK,USD,Common Stock
ABCFF,Abacus Mining & Exploration Corporation,USA,PINK,USD,Common Stock
ABCL,AbCellera Biologics Inc,USA,NASDAQ,USD,Common Stock
ABCM,Abcam plc,USA,NASDAQ,USD,Common Stock
ABCP,AmBase Corporation,USA,PINK,USD,Common Stock
ABCZF,Abcam plc,USA,PINK,USD,Common Stock
ABCZY,Abcam plc,USA,PINK,USD,Common Stock
ABDDF,AB Dynamics plc,USA,PINK,USD,Common Stock
ABDR,Ambassador Food Services Corp,USA,PINK,USD,Common Stock
ABENU,"Advanced BioEnergy, LLC",USA,OTCGREY,USD,Common Stock
ABEO,Abeona Therapeutics Inc,USA,NASDAQ,USD,Common Stock
ABEPF,Vision Lithium Inc,USA,OTCQB,USD,Common Stock
ABETF,Supernova Metals Corp,USA,OTCGREY,USD,Common Stock
ABEV,Ambev S.A,USA,NYSE,USD,Common Stock
ABEYF,Abbey plc,USA,OTCGREY,USD,Common Stock
ABG,"Asbury Automotive Group, Inc",USA,NYSE,USD,Common Stock
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock
ABGOF,"Abengoa, S.A",USA,PINK,USD,Common Stock
ABGOY,"Abengoa, S.A",USA,PINK,USD,Common Stock
ABGSF,ABG Sundal Collier Holding ASA,USA,PINK,USD,Common Stock
ABILF,Ability Inc,USA,OTCMKTS,USD,Common Stock
ABIO,"ARCA biopharma, Inc",USA,NASDAQ,USD,Common Stock
ABKB,"American Basketball Association, Inc",USA,PINK,USD,Common Stock
ABLE,"Able Energy, Inc",USA,OTCCE,USD,Common Stock
ABLGF,Alten S.A,USA,OTCGREY,USD,Common Stock
ABLT,American Biltrite Inc,USA,PINK,USD,Common Stock
ABLZF,ABB Ltd,USA,PINK,USD,Common Stock
ABM,ABM Industries Incorporated,USA,NYSE,USD,Common Stock
ABMAF,Albioma,USA,PINK,USD,Common Stock
ABMBF,Abcourt Mines Inc,USA,PINK,USD,Common Stock
ABMC,American Bio Medica Corporation,USA,OTCQB,USD,Common Stock
ABMD,"Abiomed, Inc",USA,NASDAQ,USD,Common Stock
ABML,American Battery Metals Corporation,USA,OTCQB,USD,Common Stock
ABMRF,ABN AMRO Bank N.V,USA,PINK,USD,Common Stock
ABMT,"Advanced Biomedical Technologies, Inc",USA,OTCQB,USD,Common Stock
ABNAF,Aben Resources Ltd,USA,OTCQB,USD,Common Stock
ABNB,"Airbnb, Inc",USA,NASDAQ,USD,Common Stock
ABPR,"Airborne Security & Protective Services, Inc",USA,PINK,USD,Common Stock
ABQQ,AB International Group Corp,USA,OTCQB,USD,Common Stock
ABR,"Arbor Realty Trust, Inc",USA,NYSE,USD,Common Stock
ABRUF,American Pacific Borates Limited,USA,OTCGREY,USD,Common Stock
ABSCF,AB Science S.A,USA,PINK,USD,Common Stock
ABSOF,ABS-CBN Holdings Corporation,USA,OTCGREY,USD,Common Stock
ABSSF,AirBoss of America Corp,USA,PINK,USD,Common Stock
ABST,Absolute Software Corporation,USA,PINK,USD,Common Stock
ABT,Abbott Laboratories,USA,NYSE,USD,Common Stock
ABTI,"Alterola Biotech, Inc",USA,PINK,USD,Common Stock
ABTO,AB&T Financial Corp,USA,PINK,USD,Common Stock
ABTX,"Allegiance Bancshares, Inc",USA,NASDAQ,USD,Common Stock
ABTZY,"Aboitiz Equity Ventures, Inc",USA,PINK,USD,Common Stock
ABUS,Arbutus Biopharma Corporation,USA,NASDAQ,USD,Common Stock
ABVC,American BriVision (Holding) Corporation,USA,OTCQB,USD,Common Stock
ABVG,"Affinity Beverage Group, Inc",USA,OTCCE,USD,Common Stock
ABVN,"ABV Consulting, Inc",USA,PINK,USD,Common Stock
ABWN,Airborne Wireless Network,USA,PINK,USD,Common Stock
ABXXF,Abaxx Technologies Inc,USA,OTCQB,USD,Common Stock
ABZPY,Aboitiz Power Corporation,USA,PINK,USD,Common Stock
ABZT,Ablaze Technologies Inc,USA,OTCCE,USD,Common Stock
ABZUF,Abzu Gold Ltd,USA,OTCCE,USD,Common Stock
AC,"Associated Capital Group, Inc",USA,NYSE,USD,Common Stock
ACA,"Arcosa, Inc",USA,NYSE,USD,Common Stock
ACAC,Acies Acquisition Corp,USA,NASDAQ,USD,Common Stock
ACACU,Acies Acquisition Corp,USA,NASDAQ,USD,Common Stock
ACACW,Acies Acquisition Corp,USA,NASDAQ,USD,Common Stock
ACAD,ACADIA Pharmaceuticals Inc,USA,NASDAQ,USD,Common Stock
ACAHU,Atlantic Coastal Acquisition Corp. Unit,USA,NASDAQ,USD,Common Stock
ACAI,Safeplus International Holdings Limited,USA,PINK,USD,Common Stock
ACAN,"AmeriCann, Inc",USA,OTCQB,USD,Common Stock
ACAVF,ACE Aviation Holdings Inc,USA,OTCGREY,USD,Common Stock
ACAZF,Acadian Timber Corp,USA,PINK,USD,Common Stock
ACB,Aurora Cannabis Inc,USA,NYSE,USD,Common Stock
ACBCQ,Albina Community Bancorp,USA,PINK,USD,Common Stock
ACBD,Annabidiol Corp,USA,PINK,USD,Common Stock
ACBI,"Atlantic Capital Bancshares, Inc",USA,NASDAQ,USD,Common Stock
ACBM,"Acro Biomedical Co., Ltd",USA,OTCQB,USD,Common Stock
ACC,"American Campus Communities, Inc",USA,NYSE,USD,Common Stock
ACCA,"Acacia Diversified Holdings, Inc",USA,PINK,USD,Common Stock
ACCD,"Accolade, Inc",USA,NASDAQ,USD,Common Stock
ACCFF,Accord Financial Corp,USA,PINK,USD,Common Stock
ACCLL,"Al-Corn Clean Fuel, LLC",USA,OTCGREY,USD,Common Stock
ACCMF,AAC Clyde Space AB (publ),USA,OTCQX,USD,Common Stock
ACCO,ACCO Brands Corporation,USA,NYSE,USD,Common Stock
ACCR,"Access-Power & Co., Inc",USA,PINK,USD,Common Stock
ACCYY,Accor SA,USA,PINK,USD,Common Stock
ACDSF,Ascendas Real Estate Investment Trust,USA,PINK,USD,Common Stock
ACDVF,Air Canada,USA,OTCQX,USD,Common Stock
ACEEU,Ace Ethanol LLC,USA,OTCGREY,USD,Common Stock
ACEHF,PT Ace Hardware Indonesia Tbk,USA,OTCGREY,USD,Common Stock
ACEJF,ACEA S.p.A,USA,OTCGREY,USD,Common Stock
ACEL,"Accel Entertainment, Inc",USA,NYSE,USD,Common Stock
ACEL-WS,ACEL-WS,USA,NYSE,USD,Common Stock
ACER,Acer Therapeutics Inc,USA,NASDAQ,USD,Common Stock
ACET,"Adicet Bio, Inc",USA,NASDAQ,USD,Common Stock
ACEV,ACE Convergence Acquisition Corp,USA,NASDAQ,USD,Common Stock
ACEVU,ACE Convergence Acquisition Corp,USA,NASDAQ,USD,Common Stock
ACEVW,ACE Convergence Acquisition Corp,USA,NASDAQ,USD,Common Stock
ACEYY,Acer Incorporated,USA,OTCGREY,USD,Common Stock
ACEZ,Qiansui International Group Co. Ltd,USA,PINK,USD,Common Stock
ACEZD,Qiansui International Group Co. Ltd,USA,PINK,USD,Common Stock
ACFFF,Accordia Golf Trust,USA,OTCGREY,USD,Common Stock
ACFL,AMC Financial Holdings Inc,USA,PINK,USD,Common Stock
ACFN,"Acorn Energy, Inc",USA,OTCQB,USD,Common Stock
ACGBF,Agricultural Bank of China Limited,USA,PINK,USD,Common Stock
ACGBY,Agricultural Bank of China Limited,USA,PINK,USD,Common Stock
ACGI,"The Amacore Group, Inc",USA,PINK,USD,Common Stock
ACGL,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock
ACGLO,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock
ACGLP,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock
ACGPF,Accell Group N.V,USA,PINK,USD,Common Stock
ACGX,"Alliance Creative Group, Inc",USA,PINK,USD,Common Stock
ACGYF,Subsea 7 S.A,USA,PINK,USD,Common Stock
ACH,Aluminum Corporation of China Limited,USA,NYSE,USD,Common Stock
ACHC,"Acadia Healthcare Company, Inc",USA,NASDAQ,USD,Common Stock
ACHFF,Arch Biopartners Inc,USA,OTCQB,USD,Common Stock
ACHKF,Achiko AG,USA,PINK,USD,Common Stock
ACHL,Achilles Therapeutics plc American Depositary Shares,USA,NASDAQ,USD,Common Stock
ACHV,"Achieve Life Sciences, Inc",USA,NASDAQ,USD,Common Stock
ACI,"Albertsons Companies, Inc",USA,NYSE,USD,Common Stock
ACIC,Atlas Crest Investment Corp,USA,NYSE,USD,Common Stock
ACIC-U,ACIC-U,USA,NYSE,USD,Common Stock
ACIC-WS,ACIC-WS,USA,NYSE,USD,Common Stock
ACII-U,ACII-U,USA,NYSE,USD,Common Stock
ACII-WS,ACII-WS,USA,NYSE,USD,Common Stock
ACITF,Asian Citrus Holdings Limited,USA,OTCGREY,USD,Common Stock
ACIU,AC Immune SA,USA,NASDAQ,USD,Common Stock
ACIW,"ACI Worldwide, Inc",USA,NASDAQ,USD,Common Stock
ACKAY,Arçelik Anonim Sirketi,USA,PINK,USD,Common Stock
ACKDF,Auckland International Airport Limited,USA,PINK,USD,Common Stock
ACKIT,Ackrell SPAC Partners I Co. Subunits,USA,NASDAQ,USD,Common Stock
ACKIU,Ackrell SPAC Partners I Co,USA,NASDAQ,USD,Common Stock
ACKIW,Ackrell SPAC Partners I Co. Warrants,USA,NASDAQ,USD,Common Stock
ACKRF,American Creek Resources Ltd,USA,PINK,USD,Common Stock
ACLD,Acquire Ltd,USA,PINK,USD,Common Stock
ACLLF,ATCO Ltd,USA,PINK,USD,Common Stock
ACLS,"Axcelis Technologies, Inc",USA,NASDAQ,USD,Common Stock
ACLTF,ATCO Ltd,USA,OTCGREY,USD,Common Stock
ACM,AECOM,USA,NYSE,USD,Common Stock
ACMB,Agro Capital Management Corp,USA,PINK,USD,Common Stock
ACMBD,Agro Capital Management Corp,USA,PINK,USD,Common Stock
ACMC,American Church Mortgage Company,USA,PINK,USD,Common Stock
ACMDY,Atlas Consolidated Mining and Development Corporation,USA,PINK,USD,Common Stock
ACMLF,Ascom Holding AG,USA,OTCGREY,USD,Common Stock
ACMR,"ACM Research, Inc",USA,NASDAQ,USD,Common Stock
ACMT,ACMAT Corporation,USA,PINK,USD,Common Stock
ACMTA,ACMAT Corporation,USA,PINK,USD,Common Stock
ACN,Accenture plc,USA,NYSE,USD,Common Stock
ACNB,ACNB Corporation,USA,NASDAQ,USD,Common Stock
ACND,Ascendant Digital Acquisition Corp,USA,NYSE,USD,Common Stock
ACND-U,ACND-U,USA,NYSE,USD,Common Stock
ACND-WS,ACND-WS,USA,NYSE,USD,Common Stock
ACND-WT,Ascendant Digital Acquisition Corp. Wt,USA,NASDAQ,USD,Common Stock
ACNDF,Ascendas India Trust,USA,PINK,USD,Common Stock
ACNE,"Alice Consolidated Mines, Inc",USA,PINK,USD,Common Stock
ACNFF,Amsterdam Commodities N.V,USA,OTCGREY,USD,Common Stock
ACNI,American Community Newspapers Inc,USA,OTCCE,USD,Common Stock
ACNNF,AusCann Group Holdings Ltd,USA,PINK,USD,Common Stock
ACNV,"Accelera Innovations, Inc",USA,PINK,USD,Common Stock
ACOPF,The a2 Milk Company Limited,USA,PINK,USD,Common Stock
ACOPY,The a2 Milk Company Limited,USA,PINK,USD,Common Stock
ACOR,"Acorda Therapeutics, Inc",USA,NASDAQ,USD,Common Stock
ACOSF,Archos S.A,USA,OTCGREY,USD,Common Stock
ACPGF,Acacia Pharma Group plc,USA,PINK,USD,Common Stock
ACPRF,ArcPacific Resources Corp,USA,PINK,USD,Common Stock
ACPS,AC Partners Inc,USA,PINK,USD,Common Stock
ACQRU,Independence Holdings Corp.,USA,NASDAQ,USD,Common Stock
ACR,ACRES Commercial Realty Corp,USA,NYSE,USD,Common Stock
ACRB,"Asia Carbon Industries, Inc",USA,PINK,USD,Common Stock
ACRDF,"Acreage Holdings, Inc",USA,OTCQX,USD,Common Stock
ACRE,Ares Commercial Real Estate Corporation,USA,NYSE,USD,Common Stock
ACRFF,Accor SA,USA,PINK,USD,Common Stock
ACRHF,"Acreage Holdings, Inc",USA,OTCQX,USD,Common Stock
ACRL,"Atacama Resources International, Inc",USA,PINK,USD,Common Stock
ACRS,"Aclaris Therapeutics, Inc",USA,NASDAQ,USD,Common Stock
ACRX,"AcelRx Pharmaceuticals, Inc",USA,NASDAQ,USD,Common Stock
ACSAF,"ACS, Actividades de Construcción y Servicios, S.A",USA,PINK,USD,Common Stock
ACSAY,"ACS, Actividades de Construcción y Servicios, S.A",USA,PINK,USD,Common Stock
ACSEF,"ACS Motion Control, Ltd",USA,PINK,USD,Common Stock
ACSSF,Apollo Healthcare Corp,USA,PINK,USD,Common Stock
ACST,Acasti Pharma Inc,USA,NASDAQ,USD,Common Stock
ACSYF,Accsys Technologies PLC,USA,OTCGREY,USD,Common Stock
ACTC,ArcLight Clean Transition Corp,USA,NASDAQ,USD,Common Stock
ACTCU,ArcLight Clean Transition Corp,USA,NASDAQ,USD,Common Stock
ACTCW,ArcLight Clean Transition Corp,USA,NASDAQ,USD,Common Stock
ACTDU,ArcLight Clean Transition Corp. II,USA,NASDAQ,USD,Common Stock
ACTG,Acacia Research Corporation,USA,NASDAQ,USD,Common Stock
ACTL,"Artec Global Media, Inc",USA,PINK,USD,Common Stock
ACTX,"Advanced Container Technologies, Inc",USA,NASDAQ,USD,Common Stock
ACU,Acme United Corporation,USA,NYSE MKT,USD,Common Stock
ACUIF,AcuityAds Holdings Inc,USA,OTCQX,USD,Common Stock
ACUR,"Acura Pharmaceuticals, Inc",USA,OTCQB,USD,Common Stock
ACUS,"Acusphere, Inc",USA,PINK,USD,Common Stock
ACVA,ACV Auctions Inc.,USA,NASDAQ,USD,Common Stock
ACWRF,Acceleware Ltd,USA,PINK,USD,Common Stock
ACXIF,"Acciona, S.A",USA,PINK,USD,Common Stock
ACY,AeroCentury Corp,USA,NYSE MKT,USD,Common Stock
ADAD,"Huaizhong Health Group, Inc",USA,PINK,USD,Common Stock
ADAG,Adagene Inc.,USA,NASDAQ,USD,Common Stock
ADAP,Adaptimmune Therapeutics plc,USA,NASDAQ,USD,Common Stock
ADBCF,Adbri Limited,USA,PINK,USD,Common Stock
ADBE,Adobe Inc,USA,NASDAQ,USD,Common Stock
ADBGF,Adore Beauty Group Limited,USA,PINK,USD,Common Stock
ADBKF,Addiko Bank AG,USA,PINK,USD,Common Stock
ADBN,"Americana Distribution, Inc",USA,OTCCE,USD,Common Stock
ADBRF,Aldebaran Resources Inc,USA,PINK,USD,Common Stock
ADC,Agree Realty Corporation,USA,NYSE,USD,Common Stock
ADCOF,Adcore Inc,USA,PINK,USD,Common Stock
ADCT,ADC Therapeutics SA,USA,NYSE,USD,Common Stock
ADCUF,ADS Maritime Holding Plc,USA,PINK,USD,Common Stock
ADCV,ADCapital US Inc,USA,PINK,USD,Common Stock
ADDC,Addmaster Corporation,USA,PINK,USD,Common Stock
ADDDF,adidas AG,USA,OTCQX,USD,Common Stock
ADDLF,AddLife AB (publ),USA,PINK,USD,Common Stock
ADDXF,Addex Therapeutics Ltd,USA,OTCGREY,USD,Common Stock
ADDYY,adidas AG,USA,OTCQX,USD,Common Stock
ADER,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock
ADERU,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock
ADERW,26 Capital Acquisition Corp,USA,NASDAQ,USD,Common Stock
ADERY,"Aida Engineering, Ltd",USA,PINK,USD,Common Stock
ADES,"Advanced Emissions Solutions, Inc",USA,NASDAQ,USD,Common Stock
ADEVF,ADEVF,USA,PINK,USD,Common Stock
ADEX-U,ADEX-U,USA,NYSE,USD,Common Stock
ADEX-WS,ADEX-WS,USA,NYSE,USD,Common Stock
ADFJF,ADF Group Inc,USA,OTCGREY,USD,Common Stock
ADFS,"American Defense Systems, Inc",USA,PINK,USD,Common Stock
ADFT,"Adfitech, Inc",USA,PINK,USD,Common Stock
ADGCF,Advance Gold Corp,USA,PINK,USD,Common Stock
ADGL,"AllDigital Holdings, Inc",USA,OTCCE,USD,Common Stock
ADGO,Advantego  Corporation,USA,PINK,USD,Common Stock
ADGS,"ADGS Advisory, Inc",USA,PINK,USD,Common Stock
ADHC,American Diversified Holdings Corporation,USA,PINK,USD,Common Stock
ADHG,Ando Holdings Ltd,USA,PINK,USD,Common Stock
ADHLF,Applied Development Holdings Limited,USA,OTCGREY,USD,Common Stock
ADI,"Analog Devices, Inc",USA,NASDAQ,USD,Common Stock
ADIA,"Adia Nutrition, Inc",USA,PINK,USD,Common Stock
ADIL,"Adial Pharmaceuticals, Inc",USA,NASDAQ,USD,Common Stock
ADILW,"Adial Pharmaceuticals, Inc. WT EXP 073123",USA,NASDAQ,USD,Common Stock
ADIWW,"Adial Pharmaceuticals, Inc",USA,PINK,USD,Common Stock
ADKCF,Adeka Corporation,USA,OTCGREY,USD,Common Stock
ADKIL,Adkins Energy LLC,USA,OTCGREY,USD,Common Stock
ADKT,The Adirondack Trust Company,USA,PINK,USD,Common Stock
ADLDY,Adbri Limited,USA,PINK,USD,Common Stock
ADLI,American Medical Technologies Inc,USA,OTCCE,USD,Common Stock
ADM,Archer-Daniels-Midland Company,USA,NYSE,USD,Common Stock
ADMA,"ADMA Biologics, Inc",USA,NASDAQ,USD,Common Stock
ADMG,Adamant DRI Processing and Minerals Group,USA,PINK,USD,Common Stock
ADMLF,Adriatic Metals PLC,USA,PINK,USD,Common Stock
ADMP,Adamis Pharmaceuticals Corporation,USA,NASDAQ,USD,Common Stock
ADMQ,"ADM Endeavors, Inc",USA,OTCQB,USD,Common Stock
ADMS,"Adamas Pharmaceuticals, Inc",USA,NASDAQ,USD,Common Stock
ADMT,"ADM Tronics Unlimited, Inc",USA,OTCQB,USD,Common Stock
ADN,"Advent Technologies Holdings, Inc",USA,NASDAQ,USD,Common Stock
ADNT,Adient plc,USA,NYSE,USD,Common Stock
ADNWW,"Advent Technologies Holdings, Inc",USA,NASDAQ,USD,Common Stock
ADNY,Adino Energy Corporation,USA,PINK,USD,Common Stock
ADOC,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock
ADOCR,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock
ADOCW,Edoc Acquisition Corp,USA,NASDAQ,USD,Common Stock
ADOCY,Adocia SA,USA,PINK,USD,Common Stock
ADOM,"ADOMANI, Inc",USA,OTCQB,USD,Common Stock
ADOOY,PT Adaro Energy Tbk,USA,PINK,USD,Common Stock
ADP,"Automatic Data Processing, Inc",USA,NASDAQ,USD,Common Stock
ADPPF,Adler Group S.A,USA,OTCGREY,USD,Common Stock
ADPT,Adaptive Biotechnologies Corporation,USA,NASDAQ,USD,Common Stock
ADPXY,Audio Pixels Holdings Limited,USA,PINK,USD,Common Stock
ADRA-U,ADRA-U,USA,NYSE MKT,USD,Common Stock
ADRA-WS,ADRA-WS,USA,NYSE MKT,USD,Common Stock
ADRNY,Koninklijke Ahold Delhaize N.V,USA,OTCQX,USD,Common Stock
ADRZF,Andritz AG,USA,PINK,USD,Common Stock
ADRZY,Andritz AG,USA,PINK,USD,Common Stock
ADS,Alliance Data Systems Corporation,USA,NYSE,USD,Common Stock
ADSGF,adesso SE,USA,PINK,USD,Common Stock
ADSK,"Autodesk, Inc",USA,NASDAQ,USD,Common Stock
ADST,Adstar Inc,USA,OTCCE,USD,Common Stock
ADSV,"Allied Security Innovations, Inc",USA,PINK,USD,Common Stock
ADT,ADT Inc,USA,NYSE,USD,Common Stock
ADTC,"Advanced Deposition Technologies, Inc",USA,OTCCE,USD,Common Stock
ADTFF,iMetal Resources Inc,USA,PINK,USD,Common Stock
ADTM,"Adaptive Medias, Inc",USA,PINK,USD,Common Stock
ADTN,"ADTRAN, Inc",USA,NASDAQ,USD,Common Stock
ADTR,Alliance Media Holdings Inc,USA,PINK,USD,Common Stock
ADTX,"ADiTx Therapeutics, Inc",USA,NASDAQ,USD,Common Stock
ADTY,"Adtegrity.com International, Inc",USA,PINK,USD,Common Stock
ADUS,Addus HomeCare Corporation,USA,NASDAQ,USD,Common Stock
ADV,Advantage Solutions Inc,USA,NASDAQ,USD,Common Stock
ADVC,Advant-e Corp,USA,PINK,USD,Common Stock
ADVM,"Adverum Biotechnologies, Inc",USA,NASDAQ,USD,Common Stock
ADVOF,ADVA Optical Networking SE,USA,PINK,USD,Common Stock
ADVT,Advantis Corp,USA,OTCCE,USD,Common Stock
ADVV,"Adveco Group, Inc",USA,PINK,USD,Common Stock
ADVWW,Advantage Solutions Inc,USA,NASDAQ,USD,Common Stock
ADVZF,Adventus Mining Corporation,USA,OTCQX,USD,Common Stock
ADWPF,Andrew Peller Limited,USA,OTCGREY,USD,Common Stock
ADXDF,Adex Mining Inc,USA,OTCGREY,USD,Common Stock
ADXN,Addex Therapeutics Ltd,USA,NASDAQ,USD,Common Stock
ADXRF,ADX Energy Ltd,USA,PINK,USD,Common Stock
ADXS,"Advaxis, Inc",USA,NASDAQ,USD,Common Stock
ADYEY,Adyen N.V,USA,PINK,USD,Common Stock
ADYX,"Adynxx, Inc",USA,PINK,USD,Common Stock
ADYYF,Adyen N.V,USA,PINK,USD,Common Stock
ADZZF,Advance Residence Investment Corporation,USA,OTCGREY,USD,Common Stock
AE,"Adams Resources & Energy, Inc",USA,NYSE MKT,USD,Common Stock
AEAC,Authentic Equity Acquisition Corp,USA,NASDAQ,USD,Common Stock
AEACU,Authentic Equity Acquisition Corp,USA,NASDAQ,USD,Common Stock
AEACW,Authentic Equity Acquisition Corp,USA,NASDAQ,USD,Common Stock
AEB,Aegon N.V. PERP CAP FLTG RT,USA,NYSE,USD,Common Stock
AEBZY,Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi,USA,PINK,USD,Common Stock
AECFF,Action Energy Inc,USA,PINK,USD,Common Stock
AEDC,American Energy Development Corp,USA,OTCCE,USD,Common Stock
AEDFF,Aedifica SA,USA,OTCGREY,USD,Common Stock
AEE,Ameren Corporation,USA,NYSE,USD,Common Stock
AEEI,"American Environmental Energy, Inc",USA,PINK,USD,Common Stock
AEEX,"Asia Equity Exchange Group, Inc",USA,PINK,USD,Common Stock
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc",USA,NYSE MKT,USD,Common Stock
AEFC,AEFC,USA,NYSE,USD,Common Stock
AEG,Aegon N.V,USA,NYSE,USD,Common Stock
AEGG,"The American Energy Group, Ltd",USA,PINK,USD,Common Stock
AEGN,Aegion Corporation,USA,NASDAQ,USD,Common Stock
AEGOF,Aegon N.V,USA,PINK,USD,Common Stock
AEGXF,Aecon Group Inc,USA,PINK,USD,Common Stock
AEGY,"Alternative Energy Partners, Inc",USA,OTCCE,USD,Common Stock
AEHL,Antelope Enterprise Holdings Limited,USA,NASDAQ,USD,Common Stock
